3345,M,M,SG,Y,0307,N,FIL,COM,70S,LOVE,N,Y,OTH,N
0712,M,H,TN,Y,0307,N,FIL,STY,70S,ONLY,Y,Y,ACT,A
1925,M,H,SG,Y,0811,N,FRI,FIG,90S2,2NDC,Y,Y,ACT,Y
0712,M,H,TN,Y,0307,N,FIL,STY,70S,ONLY,Y,Y,ACT,A
0712,M,H,TN,Y,0307,N,FIL,STY,70S,ONLY,Y,Y,ACT,A
1318,M,H,TN,Y,0307,N,SIM,STY,70S,LOVE,Y,Y,ACT,Y
2532,M,H,TN,Y,0307,N,SIM,STY,90S1,ONLY,Y,Y,ACT,Y
2532,M,H,TN,Y,0811,N,FIL,STY,80S2,ONLY,Y,Y,POL,Y
0712,F,O,JP,N,3140,N,FIL,SEN,80S1,ONLY,N,Y,ACT,Y
0712,M,H,TN,Y,0307,N,FIL,STY,70S,ONLY,Y,Y,ACT,A
0712,M,H,TN,Y,0307,N,FIL,STY,70S,ONLY,Y,Y,ACT,A
2532,M,C,OT,Y,1721,Y,SIM,OTH,90S2,LOVE,Y,Y,POL,Y
1925,M,H,TN,Y,0811,N,SIM,STY,RCNT,LOVE,N,Y,OTH,Y
2532,M,H,TN,Y,0811,N,GEN,STY,90S1,LOVE,Y,Y,POL,Y
0712,M,H,TN,Y,0307,N,FIL,STY,70S,ONLY,Y,Y,ACT,A
0712,M,H,TN,Y,0307,N,FIL,STY,70S,ONLY,Y,Y,ACT,A
2532,M,H,MY,Y,0307,N,GEN,STY,RCNT,ONLY,N,Y,ACT,Y
0712,M,H,TN,Y,0307,N,FIL,STY,70S,ONLY,Y,Y,ACT,A
0712,M,H,TN,Y,0307,N,FIL,STY,70S,ONLY,Y,Y,ACT,A
0712,M,H,TN,Y,0307,N,FIL,STY,70S,ONLY,Y,Y,ACT,A
0712,M,H,TN,Y,0307,N,FIL,STY,70S,ONLY,Y,Y,ACT,A
0712,M,H,TN,Y,0307,N,FIL,STY,70S,ONLY,Y,Y,ACT,A
